timestamp,open,high,low,close,volume
2019-07-15 09:31:00,1.76,1.76,1.76,1.76,0
2019-07-15 09:40:00,1.8107,1.8107,1.8107,1.8107,200
2019-07-15 09:41:00,1.83,1.83,1.83,1.83,120
2019-07-15 09:43:00,1.83,1.83,1.83,1.83,207
2019-07-15 09:52:00,1.83,1.83,1.83,1.83,100
2019-07-15 09:53:00,1.85,1.85,1.8499,1.8499,895
2019-07-15 09:54:00,1.8499,1.8499,1.8499,1.8499,300
2019-07-15 10:03:00,1.8159,1.8159,1.8159,1.8159,313
2019-07-15 10:17:00,1.815,1.815,1.815,1.815,100
2019-07-15 10:23:00,1.8264,1.8264,1.8264,1.8264,900
2019-07-15 10:37:00,1.8,1.8,1.8,1.8,213
2019-07-15 10:53:00,1.8019,1.8019,1.8019,1.8019,800
2019-07-15 11:02:00,1.8,1.8,1.8,1.8,100
2019-07-15 11:03:00,1.8078,1.8078,1.8078,1.8078,925
2019-07-15 11:13:00,1.82,1.82,1.82,1.82,102
2019-07-15 11:27:00,1.81,1.81,1.81,1.81,100
2019-07-15 11:28:00,1.81,1.81,1.81,1.81,130
2019-07-15 11:29:00,1.81,1.81,1.81,1.81,228
2019-07-15 11:30:00,1.81,1.81,1.81,1.81,117
2019-07-15 11:43:00,1.811,1.811,1.811,1.811,100
2019-07-15 11:44:00,1.8038,1.8038,1.8038,1.8038,200
2019-07-15 11:50:00,1.82,1.82,1.8071,1.8071,921
2019-07-15 12:03:00,1.8193,1.8193,1.8193,1.8193,291
2019-07-15 12:14:00,1.8161,1.8161,1.8161,1.8161,2088
2019-07-15 12:31:00,1.8199,1.8199,1.8199,1.8199,504
2019-07-15 12:32:00,1.82,1.82,1.82,1.82,147
2019-07-15 12:58:00,1.8,1.8,1.8,1.8,100
2019-07-15 13:00:00,1.812,1.812,1.812,1.812,450
2019-07-15 13:21:00,1.82,1.82,1.82,1.82,185
2019-07-15 13:25:00,1.8137,1.8137,1.8137,1.8137,1000
2019-07-15 13:26:00,1.814,1.814,1.814,1.814,100
2019-07-15 13:28:00,1.8079,1.8079,1.8079,1.8079,300
2019-07-15 13:49:00,1.8199,1.82,1.81,1.81,4251
2019-07-15 13:51:00,1.812,1.812,1.812,1.812,252
2019-07-15 13:59:00,1.82,1.82,1.82,1.82,1084
2019-07-15 14:10:00,1.83,1.835,1.8209,1.835,6090
2019-07-15 14:12:00,1.83,1.83,1.83,1.83,100
2019-07-15 14:19:00,1.82,1.82,1.82,1.82,100
2019-07-15 14:23:00,1.83,1.87,1.83,1.87,2078
2019-07-15 14:24:00,1.87,1.87,1.87,1.87,3116
2019-07-15 14:34:00,1.8647,1.8647,1.8647,1.8647,255
2019-07-15 15:19:00,1.87,1.87,1.87,1.87,100
2019-07-15 15:26:00,1.85,1.85,1.85,1.85,100
2019-07-15 15:32:00,1.85,1.85,1.85,1.85,100
2019-07-15 15:44:00,1.86,1.87,1.86,1.8666,1830
2019-07-15 15:57:00,1.8691,1.8691,1.8691,1.8691,200
2019-07-15 16:00:00,1.86,1.87,1.85,1.85,4738
2019-07-16 09:31:00,1.84,1.84,1.84,1.84,3325
2019-07-16 09:52:00,1.8129,1.8129,1.8129,1.8129,1300
2019-07-16 09:57:00,1.8196,1.8196,1.8196,1.8196,4001
2019-07-16 10:17:00,1.84,1.85,1.84,1.85,4700
2019-07-16 10:18:00,1.84,1.86,1.82,1.86,3700
2019-07-16 10:19:00,1.87,1.87,1.84,1.84,1600
2019-07-16 10:20:00,1.84,1.8488,1.84,1.84,3393
2019-07-16 10:21:00,1.84,1.85,1.82,1.82,1100
2019-07-16 10:22:00,1.85,1.85,1.85,1.85,2670
2019-07-16 10:23:00,1.85,1.87,1.83,1.83,2257
2019-07-16 10:24:00,1.86,1.86,1.86,1.86,200
2019-07-16 10:25:00,1.853,1.8752,1.853,1.8752,2500
2019-07-16 10:26:00,1.89,1.89,1.89,1.89,106
2019-07-16 10:27:00,1.9241,1.95,1.9241,1.95,1000
2019-07-16 10:28:00,1.95,1.95,1.94,1.95,4708
2019-07-16 10:29:00,1.95,1.98,1.95,1.95,9449
2019-07-16 10:30:00,1.95,2.0,1.94,1.94,3600
2019-07-16 10:31:00,1.92,1.92,1.89,1.89,1166
2019-07-16 10:32:00,1.9,1.9416,1.9,1.9416,697
2019-07-16 10:34:00,1.9201,1.9201,1.9201,1.9201,500
2019-07-16 10:35:00,1.9296,1.96,1.9296,1.955,3600
2019-07-16 10:36:00,1.9519,1.96,1.9519,1.96,1340
2019-07-16 10:37:00,1.9544,1.9544,1.9544,1.9544,3980
2019-07-16 10:38:00,1.9636,1.9636,1.9636,1.9636,3166
2019-07-16 10:39:00,1.94,1.94,1.94,1.94,200
2019-07-16 10:40:00,1.9603,1.9603,1.94,1.9409,829
2019-07-16 10:41:00,1.9478,1.9478,1.94,1.94,848
2019-07-16 10:49:00,1.89,1.89,1.89,1.89,100
2019-07-16 10:50:00,1.9165,1.93,1.9,1.9161,6500
2019-07-16 10:53:00,1.8755,1.8755,1.8755,1.8755,2500
2019-07-16 10:54:00,1.9079,1.9079,1.9079,1.9079,200
2019-07-16 10:56:00,1.9199,1.9199,1.9199,1.9199,155
2019-07-16 10:59:00,1.88,1.88,1.88,1.88,100
2019-07-16 11:04:00,1.9099,1.9099,1.9099,1.9099,100
2019-07-16 11:05:00,1.8938,1.8938,1.8938,1.8938,150
