timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-07-10 13:55:00,3.45,3.45,3.44,3.43,243.0,-0.01,-0.29,3.444,3.44,3.4395,177.4,232.7,172.65,0.0
2019-07-10 14:00:00,3.44,3.44,3.43,3.43,417.0,-0.01,-0.29,3.44,3.439,3.439,233.4,270.2,191.4,0.01
2019-07-10 14:05:00,3.43,3.44,3.44,3.42,889.0,0.01,0.29,3.438,3.44,3.439,396.4,312.8,228.95,0.01
2019-07-10 14:10:00,3.44,3.44,3.43,3.43,130.0,-0.01,-0.29,3.436,3.44,3.439,379.6,307.5,212.5,0.0
2019-07-10 14:15:00,3.43,3.43,3.43,3.42,343.0,0.0,0.0,3.434,3.438,3.4385,404.4,290.1,227.45,0.0
2019-07-10 14:20:00,3.43,3.43,3.41,3.41,461.0,-0.02,-0.58,3.428,3.436,3.437,448.0,312.7,244.8,0.01
2019-07-10 14:25:00,3.41,3.42,3.42,3.41,155.0,0.01,0.29,3.426,3.433,3.436,395.6,314.5,250.35,0.0
2019-07-10 14:30:00,3.42,3.43,3.43,3.41,321.0,0.01,0.29,3.424,3.431,3.4355,282.0,339.2,264.4,0.0
2019-07-10 14:35:00,3.43,3.43,3.41,3.41,840.0,-0.02,-0.58,3.42,3.428,3.434,424.0,401.8,303.85,0.01
2019-07-10 14:40:00,3.41,3.42,3.4,3.4,988.0,-0.01,-0.29,3.414,3.424,3.432,553.0,478.7,350.9,0.01
2019-07-10 14:45:00,3.4,3.41,3.41,3.4,209.0,0.01,0.29,3.414,3.421,3.4305,502.6,475.3,354.0,0.0
2019-07-10 14:50:00,3.41,3.41,3.41,3.4,572.0,0.0,0.0,3.412,3.419,3.429,586.0,490.8,380.5,0.01
2019-07-10 14:55:00,3.41,3.42,3.41,3.41,534.0,0.0,0.0,3.408,3.416,3.428,628.6,455.3,384.05,0.01
2019-07-10 15:00:00,3.41,3.42,3.41,3.41,292.82,0.0,0.0,3.408,3.414,3.427,519.16,471.58,389.54,0.0
2019-07-11 09:35:00,3.43,3.45,3.43,3.42,1354.0,0.0,0.0,3.414,3.414,3.426,592.36,572.68,431.39,0.02
2019-07-11 09:40:00,3.43,3.45,3.45,3.43,833.0,0.02,0.58,3.422,3.418,3.427,717.16,609.88,461.29,0.01
2019-07-11 09:45:00,3.45,3.47,3.45,3.44,1768.0,0.0,0.0,3.43,3.421,3.427,956.36,771.18,542.84,0.03
2019-07-11 09:50:00,3.45,3.48,3.47,3.45,1345.0,0.02,0.58,3.442,3.425,3.428,1118.56,873.58,606.39,0.02
2019-07-11 09:55:00,3.48,3.48,3.48,3.47,1314.0,0.0,0.0,3.456,3.432,3.43,1322.8,920.98,661.39,0.02
2019-07-11 10:00:00,3.48,3.49,3.48,3.47,721.0,0.0,0.0,3.466,3.44,3.432,1196.2,894.28,686.49,0.01
2019-07-11 10:05:00,3.48,3.48,3.47,3.47,606.0,-0.01,-0.29,3.47,3.446,3.4335,1150.8,933.98,704.64,0.01
2019-07-11 10:10:00,3.48,3.48,3.47,3.47,471.82,-0.01,-0.29,3.474,3.452,3.4355,891.56,923.96,707.38,0.01
2019-07-11 10:15:00,3.47,3.48,3.46,3.46,722.18,-0.01,-0.29,3.472,3.457,3.4365,767.0,942.78,699.04,0.01
2019-07-11 10:20:00,3.47,3.47,3.46,3.45,396.0,-0.01,-0.29,3.468,3.462,3.438,583.4,953.1,712.34,0.01
2019-07-11 10:25:00,3.46,3.46,3.46,3.45,508.0,0.0,0.0,3.464,3.465,3.4395,540.8,868.5,720.59,0.01
2019-07-11 10:30:00,3.46,3.47,3.46,3.45,30.0,0.0,0.0,3.462,3.466,3.442,425.6,788.2,699.04,0.0
2019-07-11 10:35:00,3.46,3.46,3.45,3.45,144.0,-0.01,-0.29,3.458,3.466,3.4435,360.04,625.8,698.49,0.0
2019-07-11 10:40:00,3.45,3.46,3.45,3.45,111.0,0.0,0.0,3.456,3.464,3.4445,237.8,502.4,687.99,0.0
2019-07-11 10:45:00,3.46,3.46,3.46,3.45,129.0,0.0,0.0,3.456,3.462,3.447,184.4,383.9,652.44,0.0
2019-07-11 10:50:00,3.46,3.46,3.45,3.45,40.0,-0.01,-0.29,3.454,3.459,3.4495,90.8,315.8,605.04,0.0
2019-07-11 10:55:00,3.45,3.45,3.45,3.45,20.0,0.0,0.0,3.452,3.457,3.4515,88.8,257.2,595.59,0.0
2019-07-11 11:00:00,3.45,3.46,3.45,3.45,80.0,0.0,0.0,3.452,3.455,3.4535,76.0,218.02,570.99,0.0
2019-07-11 11:05:00,3.45,3.46,3.45,3.45,324.0,0.0,0.0,3.452,3.454,3.4555,118.6,178.2,560.49,0.0
2019-07-11 11:10:00,3.45,3.46,3.46,3.45,52.0,0.01,0.29,3.452,3.454,3.458,103.2,143.8,548.45,0.0
2019-07-11 11:15:00,3.46,3.46,3.45,3.44,170.0,-0.01,-0.29,3.452,3.453,3.459,129.2,110.0,489.25,0.0
2019-07-11 11:20:00,3.45,3.45,3.44,3.44,312.0,-0.01,-0.29,3.45,3.451,3.4585,187.6,138.2,463.2,0.0
2019-07-11 11:25:00,3.43,3.44,3.44,3.43,678.0,0.01,0.29,3.448,3.45,3.458,307.2,191.6,408.7,0.01
2019-07-11 11:30:00,3.44,3.44,3.44,3.44,547.0,0.0,0.0,3.446,3.449,3.4565,351.8,235.2,368.8,0.01
2019-07-11 13:05:00,3.44,3.44,3.43,3.43,115.0,-0.01,-0.29,3.44,3.446,3.454,364.4,233.8,308.85,0.0
2019-07-11 13:10:00,3.43,3.44,3.43,3.43,409.0,0.0,0.0,3.436,3.444,3.4515,412.2,270.7,293.25,0.01
2019-07-11 13:15:00,3.43,3.44,3.44,3.43,60.0,0.01,0.29,3.436,3.443,3.45,361.8,274.7,265.95,0.0
2019-07-11 13:20:00,3.44,3.44,3.44,3.44,265.0,0.0,0.0,3.436,3.442,3.4485,279.2,293.2,255.61,0.0
2019-07-11 13:25:00,3.44,3.45,3.44,3.43,111.0,0.0,0.0,3.436,3.441,3.4475,192.0,271.9,225.05,0.0
2019-07-11 13:30:00,3.44,3.44,3.43,3.43,135.0,-0.01,-0.29,3.436,3.438,3.446,196.0,280.2,212.0,0.0
2019-07-11 13:35:00,3.43,3.43,3.42,3.42,560.0,-0.01,-0.29,3.434,3.435,3.444,226.2,319.2,214.6,0.01
2019-07-11 13:40:00,3.43,3.43,3.43,3.42,219.0,0.0,0.0,3.432,3.434,3.4425,258.0,309.9,224.05,0.0
2019-07-11 13:45:00,3.43,3.43,3.42,3.42,25.0,-0.01,-0.29,3.428,3.432,3.441,210.0,244.6,218.1,0.0
2019-07-11 13:50:00,3.42,3.43,3.42,3.42,843.0,0.0,0.0,3.424,3.43,3.4395,356.4,274.2,254.7,0.01
2019-07-11 13:55:00,3.42,3.42,3.42,3.42,266.0,0.0,0.0,3.422,3.429,3.4375,382.6,289.3,261.55,0.0
2019-07-11 14:00:00,3.42,3.42,3.42,3.42,160.0,0.0,0.0,3.422,3.428,3.436,302.6,264.4,267.55,0.0
2019-07-11 14:05:00,3.42,3.43,3.42,3.42,700.0,0.0,0.0,3.42,3.426,3.4345,398.8,328.4,301.55,0.01
2019-07-11 14:10:00,3.42,3.42,3.41,3.41,365.0,-0.01,-0.29,3.418,3.423,3.4325,466.8,338.4,315.8,0.01
2019-07-11 14:15:00,3.41,3.43,3.43,3.4,2084.0,0.02,0.59,3.42,3.422,3.4315,715.0,535.7,403.8,0.03
2019-07-11 14:20:00,3.43,3.43,3.43,3.41,100.0,0.0,0.0,3.422,3.422,3.43,681.8,532.2,406.2,0.0
2019-07-11 14:25:00,3.43,3.43,3.41,3.41,399.0,-0.02,-0.58,3.42,3.421,3.428,729.6,516.1,417.65,0.01
2019-07-11 14:30:00,3.41,3.43,3.43,3.41,153.0,0.02,0.59,3.422,3.421,3.4275,620.2,509.5,409.7,0.0
2019-07-11 14:35:00,3.43,3.43,3.43,3.42,125.0,0.0,0.0,3.426,3.422,3.427,572.2,519.5,382.05,0.0
2019-07-11 14:40:00,3.43,3.43,3.42,3.42,428.0,-0.01,-0.29,3.424,3.422,3.426,241.0,478.0,376.1,0.01
2019-07-11 14:45:00,3.42,3.43,3.42,3.42,124.0,0.0,0.0,3.422,3.422,3.4255,245.8,463.8,376.55,0.0
2019-07-11 14:50:00,3.42,3.43,3.43,3.42,76.0,0.01,0.29,3.426,3.423,3.4255,181.2,455.4,359.9,0.0
2019-07-11 14:55:00,3.43,3.43,3.42,3.42,1337.0,-0.01,-0.29,3.424,3.423,3.4245,418.0,519.1,423.75,0.02
2019-07-11 15:00:00,3.42,3.43,3.43,3.42,241.0,0.01,0.29,3.424,3.425,3.424,441.2,506.7,422.55,0.0
2019-07-12 09:35:00,3.4,3.43,3.43,3.39,2792.82,0.03,0.88,3.426,3.425,3.4235,914.16,577.58,556.64,0.04
2019-07-12 09:40:00,3.43,3.44,3.42,3.42,887.0,-0.01,-0.29,3.426,3.424,3.423,1066.76,656.28,594.24,0.01
2019-07-12 09:45:00,3.42,3.42,3.42,3.41,929.0,0.0,0.0,3.424,3.425,3.423,1237.36,709.28,612.69,0.01
2019-07-12 09:50:00,3.42,3.42,3.4,3.4,764.0,-0.02,-0.58,3.42,3.422,3.4215,1122.76,770.38,639.94,0.01
2019-07-12 09:55:00,3.4,3.43,3.43,3.4,470.0,0.03,0.88,3.42,3.422,3.422,1168.56,804.88,662.19,0.01
2019-07-12 10:00:00,3.43,3.44,3.44,3.43,324.0,0.01,0.29,3.422,3.424,3.423,674.8,794.48,636.24,0.0
2019-07-12 10:05:00,3.44,3.44,3.43,3.43,442.0,-0.01,-0.29,3.424,3.425,3.4235,585.8,826.28,645.04,0.01
2019-07-12 10:10:00,3.43,3.44,3.44,3.42,892.0,0.01,0.29,3.428,3.426,3.4245,578.4,907.88,681.64,0.01
2019-07-12 10:15:00,3.44,3.44,3.44,3.43,628.0,0.0,0.0,3.436,3.428,3.4255,551.2,836.98,678.04,0.01
2019-07-12 10:20:00,3.44,3.44,3.43,3.42,563.0,-0.01,-0.29,3.436,3.428,3.4265,569.8,869.18,687.94,0.01
2019-07-12 10:25:00,3.43,3.43,3.43,3.42,292.0,0.0,0.0,3.434,3.428,3.4265,563.4,619.1,598.34,0.0
2019-07-12 10:30:00,3.43,3.43,3.42,3.42,769.0,-0.01,-0.29,3.432,3.428,3.426,628.8,607.3,631.79,0.01
2019-07-12 10:35:00,3.42,3.42,3.41,3.41,107.0,-0.01,-0.29,3.426,3.427,3.426,471.8,525.1,617.19,0.0
2019-07-12 10:40:00,3.41,3.42,3.41,3.41,521.0,0.0,0.0,3.42,3.428,3.425,450.4,500.8,635.59,0.01
2019-07-12 10:45:00,3.41,3.43,3.43,3.41,121.01,0.02,0.59,3.42,3.428,3.425,362.0,465.9,635.39,0.0
2019-07-12 10:50:00,3.43,3.43,3.42,3.42,97.0,-0.01,-0.29,3.418,3.426,3.425,323.0,443.2,618.84,0.0
2019-07-12 10:55:00,3.42,3.42,3.42,3.41,319.99,0.0,0.0,3.418,3.425,3.425,233.2,431.0,628.64,0.0
2019-07-12 11:00:00,3.42,3.43,3.41,3.41,244.0,-0.01,-0.29,3.418,3.422,3.424,260.6,366.2,637.04,0.0
2019-07-12 11:05:00,3.41,3.43,3.43,3.41,66.0,0.02,0.59,3.422,3.421,3.4245,169.6,310.0,573.49,0.0
2019-07-12 11:10:00,3.43,3.43,3.42,3.42,3.0,-0.01,-0.29,3.42,3.42,3.424,146.0,254.0,561.59,0.0
2019-07-12 11:15:00,3.42,3.44,3.44,3.42,473.0,0.02,0.58,3.424,3.421,3.4245,221.2,272.1,445.6,0.01
2019-07-12 11:20:00,3.44,3.45,3.44,3.44,583.0,0.0,0.0,3.428,3.423,3.4255,273.8,253.5,430.4,0.01
2019-07-12 11:25:00,3.44,3.45,3.43,3.43,190.0,-0.01,-0.29,3.432,3.425,3.426,263.0,261.8,393.45,0.0
2019-07-12 11:30:00,3.43,3.44,3.44,3.43,22.0,0.01,0.29,3.434,3.428,3.428,254.2,211.9,356.35,0.0
2019-07-12 13:05:00,3.44,3.44,3.43,3.43,670.0,-0.01,-0.29,3.436,3.428,3.428,387.6,266.8,366.35,0.01
2019-07-12 13:10:00,3.43,3.43,3.43,3.43,479.0,0.0,0.0,3.434,3.429,3.4275,388.8,305.0,374.1,0.01
2019-07-12 13:15:00,3.43,3.44,3.44,3.43,219.0,0.01,0.29,3.434,3.431,3.428,316.0,294.9,362.95,0.0
2019-07-12 13:20:00,3.44,3.44,3.43,3.43,442.0,-0.01,-0.29,3.434,3.433,3.4275,366.4,314.7,340.45,0.01
2019-07-12 13:25:00,3.43,3.43,3.43,3.43,0.0,0.0,0.0,3.432,3.433,3.427,362.0,308.1,309.05,0.0
2019-07-12 13:30:00,3.43,3.44,3.44,3.43,37.0,0.01,0.29,3.434,3.435,3.4275,235.4,311.5,282.75,0.0
2019-07-12 13:35:00,3.44,3.47,3.46,3.44,1439.0,0.02,0.58,3.44,3.437,3.429,427.4,408.1,340.1,0.02
2019-07-12 13:40:00,3.46,3.46,3.46,3.45,563.0,0.0,0.0,3.444,3.439,3.431,496.2,406.1,329.8,0.01
2019-07-12 13:45:00,3.46,3.46,3.45,3.45,578.0,-0.01,-0.29,3.448,3.441,3.433,523.4,444.9,353.35,0.01
2019-07-12 13:50:00,3.45,3.46,3.45,3.45,886.0,0.0,0.0,3.452,3.442,3.435,700.6,531.3,371.6,0.01
2019-07-12 13:55:00,3.45,3.45,3.45,3.45,389.0,0.0,0.0,3.454,3.444,3.436,771.0,503.2,385.0,0.01
2019-07-12 14:00:00,3.45,3.46,3.45,3.45,285.0,0.0,0.0,3.452,3.446,3.4375,540.2,483.8,394.4,0.0
2019-07-12 14:05:00,3.45,3.45,3.45,3.45,89.0,0.0,0.0,3.45,3.447,3.439,445.4,470.8,382.85,0.0
2019-07-12 14:10:00,3.45,3.46,3.45,3.44,736.0,0.0,0.0,3.45,3.449,3.441,477.0,500.2,407.45,0.01
2019-07-12 14:15:00,3.45,3.46,3.46,3.45,557.01,0.01,0.29,3.452,3.452,3.4425,411.2,555.9,432.0,0.01
2019-07-12 14:20:00,3.46,3.46,3.45,3.45,303.0,-0.01,-0.29,3.452,3.453,3.444,394.0,582.5,447.0,0.0
2019-07-12 14:25:00,3.45,3.46,3.46,3.45,1213.0,0.01,0.29,3.454,3.453,3.445,579.6,559.9,484.0,0.02
