timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-07-10 13:55:00,7.72,7.73,7.71,7.71,250.0,-0.01,-0.13,7.714,7.721,7.7345,372.2,391.5,413.14,0.0
2019-07-10 14:00:00,7.71,7.71,7.69,7.68,888.0,-0.02,-0.26,7.712,7.717,7.7305,465.2,448.1,438.69,0.01
2019-07-10 14:05:00,7.69,7.7,7.67,7.67,514.0,-0.02,-0.26,7.7,7.71,7.726,520.8,482.8,452.99,0.01
2019-07-10 14:10:00,7.67,7.69,7.69,7.67,1040.8,0.02,0.26,7.696,7.705,7.7215,587.76,521.18,498.13,0.01
2019-07-10 14:15:00,7.69,7.7,7.69,7.68,263.5,0.0,0.0,7.69,7.703,7.7185,591.26,497.13,488.7,0.0
2019-07-10 14:20:00,7.69,7.69,7.63,7.63,1815.7,-0.06,-0.78,7.674,7.694,7.712,904.4,638.3,564.74,0.03
2019-07-10 14:25:00,7.64,7.69,7.68,7.63,1033.64,0.04,0.52,7.672,7.692,7.7085,933.53,699.36,607.8,0.01
2019-07-10 14:30:00,7.68,7.7,7.65,7.65,1074.48,-0.03,-0.39,7.668,7.684,7.7055,1045.62,783.21,611.56,0.02
2019-07-10 14:35:00,7.65,7.66,7.62,7.62,1422.5,-0.03,-0.39,7.654,7.675,7.699,1121.96,854.86,666.13,0.02
2019-07-10 14:40:00,7.62,7.67,7.65,7.62,1217.0,0.03,0.39,7.646,7.668,7.694,1312.66,951.96,707.33,0.02
2019-07-10 14:45:00,7.65,7.66,7.62,7.61,911.6,-0.03,-0.39,7.644,7.659,7.69,1131.84,1018.12,704.81,0.01
2019-07-10 14:50:00,7.62,7.64,7.64,7.61,1101.54,0.02,0.26,7.636,7.654,7.6855,1145.42,1039.48,743.79,0.02
2019-07-10 14:55:00,7.65,7.66,7.62,7.62,1067.48,-0.03,-0.39,7.63,7.649,7.6795,1144.02,1094.82,788.81,0.02
2019-07-10 15:00:00,7.63,7.63,7.62,7.62,410.8,-0.01,-0.13,7.63,7.642,7.6735,941.68,1031.82,776.5,0.01
2019-07-11 09:35:00,7.65,7.71,7.69,7.65,2025.4,0.04,0.52,7.638,7.642,7.6725,1103.36,1208.01,852.57,0.03
2019-07-11 09:40:00,7.7,7.71,7.69,7.68,1338.8,-0.01,-0.13,7.652,7.648,7.671,1188.8,1160.32,899.31,0.02
2019-07-11 09:45:00,7.68,7.7,7.68,7.65,1141.8,0.0,0.0,7.66,7.648,7.67,1196.86,1171.14,935.25,0.02
2019-07-11 09:50:00,7.68,7.71,7.71,7.67,1024.36,0.03,0.39,7.678,7.654,7.669,1188.23,1166.13,974.67,0.01
2019-07-11 09:55:00,7.71,7.77,7.75,7.71,1710.52,0.04,0.52,7.704,7.667,7.671,1448.18,1194.93,1024.9,0.02
2019-07-11 10:00:00,7.75,7.75,7.74,7.72,446.0,-0.01,-0.13,7.714,7.676,7.672,1132.3,1117.83,1034.9,0.01
2019-07-11 10:05:00,7.72,7.75,7.74,7.72,682.5,0.02,0.26,7.724,7.688,7.6735,1001.04,1094.92,1056.52,0.01
2019-07-11 10:10:00,7.75,7.75,7.75,7.73,842.7,0.0,0.0,7.738,7.699,7.6765,941.22,1069.04,1054.26,0.01
