timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-07-10 13:55:00,6.38,6.41,6.38,6.38,3154.0,0.0,0.0,6.392,6.407,6.4135,2976.8,1897.8,1893.18,0.05
2019-07-10 14:00:00,6.38,6.4,6.39,6.38,2037.0,0.01,0.16,6.39,6.404,6.412,2827.2,2057.8,1757.68,0.03
2019-07-10 14:05:00,6.39,6.39,6.38,6.38,1338.0,-0.01,-0.16,6.384,6.4,6.4105,2615.2,2127.4,1709.83,0.02
2019-07-10 14:10:00,6.38,6.39,6.34,6.34,7131.14,-0.04,-0.63,6.374,6.391,6.406,3426.63,2809.11,1961.78,0.1
2019-07-10 14:15:00,6.34,6.37,6.35,6.34,4989.0,0.01,0.16,6.368,6.384,6.4015,3729.83,3240.21,2160.08,0.07
2019-07-10 14:20:00,6.36,6.37,6.32,6.32,6761.0,-0.04,-0.63,6.356,6.374,6.397,4451.23,3714.01,2402.58,0.1
2019-07-10 14:25:00,6.32,6.34,6.33,6.31,5434.0,0.01,0.16,6.344,6.367,6.393,5130.63,3978.91,2583.83,0.08
2019-07-10 14:30:00,6.33,6.35,6.32,6.32,2667.0,-0.01,-0.16,6.332,6.358,6.388,5396.43,4005.81,2666.53,0.04
2019-07-10 14:35:00,6.33,6.34,6.33,6.32,3299.0,0.0,0.0,6.33,6.352,6.384,4630.0,4028.31,2764.78,0.05
2019-07-10 14:40:00,6.33,6.33,6.32,6.31,7894.0,-0.01,-0.16,6.324,6.346,6.379,5211.0,4470.41,3112.51,0.12
2019-07-10 14:45:00,6.32,6.33,6.3,6.29,14520.0,-0.02,-0.32,6.32,6.338,6.3725,6762.8,5607.01,3752.41,0.21
2019-07-10 14:50:00,6.3,6.3,6.29,6.28,9875.0,-0.01,-0.16,6.312,6.328,6.366,7651.0,6390.81,4224.31,0.14
2019-07-10 14:55:00,6.3,6.34,6.33,6.29,8062.0,0.03,0.48,6.314,6.323,6.3615,8730.0,7063.21,4595.31,0.12
2019-07-10 15:00:00,6.33,6.35,6.34,6.32,3215.12,0.01,0.16,6.316,6.323,6.357,8713.22,6671.61,4740.36,0.05
2019-07-11 09:35:00,6.38,6.41,6.38,6.35,7562.0,0.0,0.0,6.328,6.326,6.355,8646.82,6928.91,5084.56,0.11
2019-07-11 09:40:00,6.38,6.38,6.37,6.34,5268.0,-0.01,-0.16,6.342,6.331,6.3525,6796.42,6779.61,5246.81,0.08
2019-07-11 09:45:00,6.36,6.37,6.32,6.32,4522.0,-0.04,-0.63,6.348,6.33,6.3485,5725.82,6688.41,5333.66,0.07
2019-07-11 09:50:00,6.31,6.36,6.36,6.3,8189.6,0.05,0.79,6.354,6.334,6.346,5751.34,7240.67,5623.24,0.12
2019-07-11 09:55:00,6.36,6.37,6.36,6.35,4334.0,0.0,0.0,6.358,6.337,6.3445,5975.12,7344.17,5686.24,0.06
2019-07-11 10:00:00,6.37,6.39,6.35,6.34,9013.0,-0.02,-0.31,6.352,6.34,6.343,6265.32,7456.07,5963.24,0.13
2019-07-11 10:05:00,6.35,6.37,6.32,6.31,8544.0,-0.03,-0.47,6.342,6.342,6.34,6920.52,6858.47,6232.74,0.13
2019-07-11 10:10:00,6.33,6.35,6.34,6.32,4588.74,0.01,0.16,6.346,6.347,6.3375,6933.87,6329.85,6360.33,0.07
2019-07-11 10:15:00,6.34,6.35,6.32,6.31,5603.65,-0.02,-0.32,6.338,6.346,6.3345,6416.68,6084.01,6573.61,0.08
2019-07-11 10:20:00,6.33,6.33,6.32,6.32,4572.75,-0.01,-0.16,6.33,6.344,6.3335,6464.43,6219.77,6445.69,0.07
2019-07-11 10:25:00,6.32,6.34,6.31,6.31,3751.25,-0.01,-0.16,6.322,6.337,6.3315,5412.08,5838.7,6383.81,0.06
2019-07-11 10:30:00,6.31,6.31,6.27,6.26,17329.6,-0.04,-0.63,6.312,6.327,6.329,7169.2,7044.86,6912.24,0.25
2019-07-11 10:35:00,6.26,6.27,6.26,6.25,9389.0,0.0,0.0,6.296,6.321,6.3255,8129.25,7531.56,7109.99,0.14
2019-07-11 10:40:00,6.26,6.27,6.18,6.18,14905.6,-0.08,-1.28,6.268,6.303,6.3185,9989.64,8203.16,7721.92,0.22
2019-07-11 10:45:00,6.18,6.22,6.18,6.18,14463.0,0.0,0.0,6.24,6.285,6.311,11967.7,9216.06,8280.12,0.21
2019-07-11 10:50:00,6.18,6.18,6.06,6.05,43109.6,-0.12,-1.94,6.19,6.256,6.298,19839.4,12625.7,10040.9,0.63
2019-07-11 10:55:00,6.05,6.12,6.11,6.05,24112.0,0.06,0.99,6.158,6.235,6.2885,21195.8,14182.5,10520.5,0.35
2019-07-11 11:00:00,6.11,6.12,6.11,6.09,18494.0,0.0,0.0,6.128,6.212,6.2795,23016.8,15573.0,10951.4,0.27
2019-07-11 11:05:00,6.12,6.14,6.11,6.11,9564.0,-0.01,-0.16,6.114,6.191,6.2685,21948.5,15969.1,11026.5,0.14
2019-07-11 11:10:00,6.12,6.13,6.08,6.07,14414.0,-0.04,-0.65,6.094,6.167,6.2555,21938.7,16953.2,11586.5,0.21
