timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-07-10 13:55:00,5.08,5.08,5.08,5.07,186.0,0.0,0.0,5.078,5.078,5.091,198.8,251.93,342.21,0.01
2019-07-10 14:00:00,5.08,5.09,5.07,5.07,259.0,-0.01,-0.2,5.078,5.076,5.088,230.4,262.23,325.56,0.01
2019-07-10 14:05:00,5.07,5.08,5.07,5.07,327.0,0.0,0.0,5.076,5.075,5.0845,249.4,259.6,332.76,0.01
2019-07-10 14:10:00,5.07,5.08,5.07,5.07,191.0,0.0,0.0,5.074,5.074,5.0825,252.8,261.43,292.76,0.01
2019-07-10 14:15:00,5.07,5.08,5.08,5.07,335.0,0.01,0.2,5.074,5.075,5.0815,259.6,225.3,301.46,0.01
2019-07-10 14:20:00,5.08,5.08,5.07,5.06,436.0,-0.01,-0.2,5.072,5.075,5.0795,309.6,254.2,306.81,0.01
2019-07-10 14:25:00,5.07,5.07,5.06,5.06,344.0,-0.01,-0.2,5.07,5.074,5.0785,326.6,278.5,297.01,0.01
2019-07-10 14:30:00,5.07,5.07,5.06,5.06,244.0,-0.01,-0.2,5.068,5.072,5.0765,310.0,279.7,287.16,0.01
2019-07-10 14:35:00,5.06,5.06,5.02,5.02,2880.0,-0.04,-0.79,5.058,5.066,5.073,847.8,550.3,421.91,0.09
2019-07-10 14:40:00,5.02,5.03,5.02,5.01,1048.0,0.0,0.0,5.046,5.06,5.069,990.4,625.0,464.96,0.03
2019-07-10 14:45:00,5.02,5.02,5.01,5.0,1775.0,-0.01,-0.2,5.034,5.053,5.0655,1258.2,783.9,517.91,0.06
2019-07-10 14:50:00,5.01,5.02,5.02,5.0,1396.0,0.01,0.2,5.026,5.048,5.062,1468.6,897.6,579.91,0.05
2019-07-10 14:55:00,5.01,5.02,5.02,5.01,1122.0,0.01,0.2,5.018,5.043,5.059,1644.2,977.1,618.35,0.04
2019-07-10 15:00:00,5.01,5.02,5.02,5.01,440.13,0.01,0.2,5.018,5.038,5.056,1156.23,1002.01,631.72,0.01
2019-07-11 09:35:00,5.01,5.13,5.09,5.01,3279.0,0.08,1.6,5.032,5.039,5.057,1602.43,1296.41,760.86,0.11
2019-07-11 09:40:00,5.09,5.1,5.08,5.07,620.0,-0.01,-0.2,5.046,5.04,5.0575,1371.43,1314.81,784.51,0.02
2019-07-11 09:45:00,5.08,5.09,5.08,5.07,652.0,0.0,0.0,5.058,5.042,5.058,1222.63,1345.61,812.06,0.02
2019-07-11 09:50:00,5.08,5.11,5.11,5.07,1290.0,0.03,0.59,5.076,5.047,5.0595,1256.23,1450.21,864.96,0.04
2019-07-11 09:55:00,5.11,5.15,5.12,5.11,1637.0,0.01,0.2,5.096,5.057,5.0615,1495.6,1325.91,938.11,0.05
2019-07-11 10:00:00,5.12,5.14,5.13,5.12,536.0,0.01,0.2,5.104,5.068,5.064,947.0,1274.71,949.86,0.02
