Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
SBFGP,"SB Financial Group, Inc.",16.5,247417.5,,,Finance,Major Banks,https://www.nasdaq.com/symbol/sbfgp,
SBBX,SB One Bancorp,22.95,217459925.1,,,Finance,Major Banks,https://www.nasdaq.com/symbol/sbbx,
SBAC,SBA Communications Corporation,233.79,26476980513.75,,1999.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sbac,
SCSC,"ScanSource, Inc.",33.08,850349253.36,,,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/scsc,
SMIT,"Schmitt Industries, Inc.",2.2191,8949359.5698,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/smit,
SCHN,"Schnitzer Steel Industries, Inc.",26.71,715255764.96,,1993.0,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/schn,
SRRK,Scholar Rock Holding Corporation,12.22,357144212.88,,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/srrk,
SCHL,Scholastic Corporation,33.0,1162029561.0,,1992.0,Consumer Services,Books,https://www.nasdaq.com/symbol/schl,
SAMA,Schultze Special Purpose Acquisition Corp.,9.95,161687500.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/sama,
SAMAU,Schultze Special Purpose Acquisition Corp.,10.203,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/samau,
SAMAW,Schultze Special Purpose Acquisition Corp.,0.31,0.0,,2019.0,Finance,Business Services,https://www.nasdaq.com/symbol/samaw,
SGMS,Scientific Games Corp,19.28,1791566082.56,,,Technology,EDP Services,https://www.nasdaq.com/symbol/sgms,
SCPL,SciPlay Corporation,10.49,1332093850.29,,2019.0,Technology,EDP Services,https://www.nasdaq.com/symbol/scpl,
SCPH,scPharmaceuticals Inc.,5.61,104236212.3,,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/scph,
WORX,SCWorx Corp.,3.6,23664031.2,,2016.0,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/worx,
